Region,Distance,Category,MajorEvent,GroundCondition,Stick,HorseName,StartingStall,Weight,JockeyName,ChampionshipType,OwnerName,TOP1,TOP3,TOP5,EdadYears,FAVORITE,TrackHandedness_Left-Handed,TrackHandedness_Right-Handed,RaceCriteria_JUMP,Seasons_Spring,Seasons_Summer,Seasons_Winter,Schedule_Midday,Schedule_Night
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Diligent Harry (GB),4,131,Adam Kirby,FLAT,Clive Gerald Cox,0,0,0,4.212764274572526,False,0,1,0,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Romain de Senam (FR),17,145,Philip Armson,JUMP,David Edward Pipe,0,0,0,10.107582633455854,False,1,0,1,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Naval Crown (GB),17,131,James Doyle,FLAT,Charles Edward James Appleby,1,1,1,4.366087066963882,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Creative Force (IRE),3,131,William Buick,FLAT,Charles Edward James Appleby,0,1,1,4.220977995593491,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Run To Freedom (GB),18,131,Dane O'Neill,FLAT,Henry Derrick Nicholas Bourne Candy,0,0,0,4.1114617153139505,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Dragon Symbol (GB),5,131,David Egan,FLAT,Roger Patrick Varian,0,0,0,4.1826472974956515,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Vadream (GB),26,128,Daniel Tudhope,FLAT,Charles Henry Fellowes,0,0,0,4.147054506404801,False,0,1,0,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Blaklion (GB),35,148,Harry Skelton,FLAT,Daniel Nicholas Skelton,0,0,0,13.017977781884639,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Santini (GB),13,156,Nick Scholfield,FLAT,Polly-Anna Beatrice Gundry,0,0,1,9.956997748071487,False,1,0,1,1,0,0,0,0
SOUTH,1760,-100,1.0,3.0,7.6,Alcohol Free (IRE),5,133,Rob Hornby,FLAT,Andrew Matthews Balding,0,1,1,4.346836158320993,False,0,1,0,0,1,0,0,0
SOUTH,1760,-100,1.0,3.0,7.6,Chindit (IRE),3,136,Pat Dobbs,FLAT,Richard Hannon,0,0,0,4.396118484446787,False,0,1,0,0,1,0,0,0
NORTH,2256,-100,1.0,4.0,6.9,Mishriff (IRE),5,134,James Doyle,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,5.379027099955661,False,1,0,0,0,1,0,0,0
NORTH,2256,-100,1.0,4.0,6.9,Dubai Honour (IRE),3,134,Tom Marquand,FLAT,William John Haggas,0,0,1,4.489207322684396,False,1,0,0,0,1,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Sacred (GB),24,128,Tom Marquand,FLAT,William John Haggas,0,0,1,4.207288460558548,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Alcohol Free (IRE),19,128,Rob Hornby,FLAT,Andrew Matthews Balding,0,0,0,4.24014334464241,False,0,1,0,1,0,0,0,0
SOUTH,1320,-100,1.0,3.0,7.177652675193659,Happy Romance (IRE),22,128,Sean Levey,FLAT,Richard Hannon,0,0,0,4.270260321719284,False,0,1,0,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Kildisart (IRE),20,151,James Bowen,JUMP,Ben Peter Pauling,0,1,1,9.98985263215535,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Good Boy Bobby (IRE),16,153,Daryl Jacob,JUMP,Nigel Anthony Twiston-Davies,0,1,1,8.935758434464773,True,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Mighty Thunder (GB),29,150,Derek Fox,JUMP,Lucinda Valerie Russell,0,1,1,8.92480680643682,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Kildisart (IRE),20,151,James Bowen,FLAT,Ben Peter Pauling,0,1,1,9.98985263215535,False,1,0,1,1,0,0,0,0
NORTH,7554,-100,1.0,5.188575956205431,7.177652675193659,Good Boy Bobby (IRE),16,153,Daryl Jacob,FLAT,Nigel Anthony Twiston-Davies,0,1,1,8.935758434464773,True,1,0,1,1,0,0,0,0
SOUTH,2189,-100,1.0,3.0,7.7,Lord North (IRE),3,135,James Doyle,FLAT,John &. Thady Gosden & T. Gosden,0,0,1,6.394790599548397,False,0,1,0,0,1,0,0,0
SOUTH,2189,-100,1.0,3.0,7.7,Alenquer (FR),1,135,Tom Marquand,FLAT,William John Haggas,0,0,0,4.360525693355936,False,0,1,0,0,1,0,0,0
SOUTH,2189,-100,1.0,3.0,7.7,Native Trail (GB),5,125,William Buick,FLAT,Charles Edward James Appleby,0,1,1,3.410471961930924,False,0,1,0,0,1,0,0,0
SOUTH,2189,-100,1.0,3.0,7.7,Bay Bridge (GB),2,135,Ryan Moore,FLAT,Michael Ronald Stoute,0,0,1,4.253747320083384,True,0,1,0,0,1,0,0,0
SOUTH,2189,-100,1.0,3.0,7.7,Mishriff (IRE),4,135,David Egan,FLAT,John &. Thady Gosden & T. Gosden,0,1,1,5.25308337763419,False,0,1,0,0,1,0,0,0
MIDLANDS,5790,-100,1.0,5.188575956205431,5.4,Santini (GB),10,164,Nick Scholfield,FLAT,Polly-Anna Beatrice Gundry,0,0,0,9.896564154865146,False,1,0,1,0,0,1,0,0
MIDLANDS,5790,-100,1.0,5.188575956205431,5.4,Aye Right (IRE),4,164,Callum Bewley,JUMP,Harriet Graham & Gary Rutherford,0,0,0,8.9547241444611,False,1,0,1,0,0,1,0,0
MIDLANDS,5790,-100,1.0,5.188575956205431,5.4,Chantry House (IRE),5,164,Nico de Boinville,JUMP,Nicholas John Henderson,0,1,1,7.96360180793126,True,1,0,1,0,0,1,0,0
MIDLANDS,5790,-100,1.0,5.188575956205431,5.4,Chantry House (IRE),5,164,Nico de Boinville,FLAT,Nicholas John Henderson,0,1,1,7.96360180793126,True,1,0,1,0,0,1,0,0
